City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-2.28,71,6,6.78,SJ,1700947626
1,yellowknife,62.456,-114.3525,-13.71,66,75,3.6,CA,1700947634
2,nova sintra,14.8667,-24.7167,22.44,73,28,8.62,CV,1700947634
3,puerto natales,-51.7236,-72.4875,9.25,66,36,9.06,CL,1700947635
4,reyes,-14.3167,-67.3833,26.26,76,100,0.38,BO,1700947635
5,invercargill,-46.4,168.35,12.79,79,66,1.79,NZ,1700947439
6,laguna,38.421,-121.4238,17.38,33,0,5.14,US,1700947636
7,west island,-12.1568,96.8225,25.99,78,75,5.66,CC,1700947637
8,albany,42.6001,-73.9662,3.23,62,100,0.61,US,1700947498
9,swakopmund,-22.6833,14.5333,16.47,87,7,2.17,NA,1700947638
10,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1700947638
11,bethel,41.3712,-73.414,3.62,52,0,2.06,US,1700947639
12,adamstown,-25.066,-130.1015,21.79,83,100,10.9,PN,1700947639
13,buzias,45.6492,21.6036,4.14,69,100,6.96,RO,1700947640
14,zhezqazghan,47.7833,67.7667,-0.14,56,100,2.97,KZ,1700947640
15,nadym,65.5333,72.5167,-15.85,94,100,6.56,RU,1700947641
16,maur,30.0833,75.25,16.81,30,100,1.9,IN,1700947461
17,mek'ele,13.4967,39.4753,15.08,48,27,3.85,ET,1700947642
18,marka,1.7159,44.7717,27.49,78,100,5.24,SO,1700947642
19,port-aux-francais,-49.35,70.2167,3.75,77,15,16.72,TF,1700947643
20,kodiak,57.79,-152.4072,5.73,100,100,1.54,US,1700947643
21,badger,64.8,-147.5333,-5.36,90,0,0.0,US,1700947644
22,lebu,-37.6167,-73.65,13.48,79,15,7.9,CL,1700947644
23,coxen hole,16.3244,-86.5366,29.6,66,20,3.09,HN,1700947071
24,waitangi,-43.9535,-176.5597,16.01,98,100,3.13,NZ,1700947395
25,ilulissat,69.2167,-51.1,8.01,53,75,6.69,GL,1700947646
26,lata,40.1629,-8.3327,13.78,90,61,0.52,PT,1700947646
27,bilibino,68.0546,166.4372,-11.18,92,100,2.42,RU,1700947646
28,klyuchi,52.2667,79.1667,0.11,57,96,4.6,RU,1700947647
29,conception bay south,47.4999,-52.9981,-0.7,77,91,6.99,CA,1700947631
30,talnakh,69.4865,88.3972,-22.74,98,39,2.55,RU,1700947648
31,natal,-5.795,-35.2094,27.36,69,20,5.14,BR,1700947381
32,thompson,55.7435,-97.8558,-2.91,93,100,3.6,CA,1700947649
33,itapecuru mirim,-3.3925,-44.3586,30.01,61,94,3.82,BR,1700947649
34,hammerfest,70.6634,23.6821,0.25,100,100,4.63,NO,1700947650
35,ust-nera,64.5667,143.2,-32.86,99,97,2.57,RU,1700947418
36,lerwick,60.1545,-1.1494,4.0,71,91,4.22,GB,1700947651
37,ushuaia,-54.8,-68.3,8.81,76,75,7.72,AR,1700947651
38,vorgashor,67.5833,63.95,-10.46,89,100,2.86,RU,1700947652
39,margaret river,-33.95,115.0667,16.93,62,83,6.38,AU,1700947652
40,utrik,11.2278,169.8474,27.47,75,64,7.95,MH,1700947653
41,the pas,53.8251,-101.2541,-0.99,86,100,8.23,CA,1700947653
42,blackmans bay,-43.0167,147.3167,13.18,96,100,0.89,AU,1700947654
43,edinburgh of the seven seas,-37.0676,-12.3116,14.65,83,30,12.31,SH,1700947655
44,bokani,9.4333,5.2,27.08,64,52,3.3,NG,1700947655
45,port lincoln,-34.7333,135.8667,16.22,72,100,3.63,AU,1700947655
46,fale old settlement,-9.3852,-171.2468,28.78,71,91,3.48,TK,1700947656
47,vicente noble,18.3844,-71.1801,31.78,70,40,5.14,DO,1700947656
48,ulsteinvik,62.3432,5.8487,4.86,89,100,1.34,NO,1700947657
49,bredasdorp,-34.5322,20.0403,15.81,79,88,2.03,ZA,1700947657
50,manokwari,-0.8667,134.0833,25.5,81,97,2.48,ID,1700947658
51,grytviken,-54.2811,-36.5092,1.01,74,24,4.19,GS,1700947659
52,raja,8.4596,25.678,25.97,65,86,3.71,SS,1700947659
53,lihue,21.9789,-159.3672,26.77,76,0,1.54,US,1700947660
54,constantia,44.1833,28.65,3.38,91,100,12.61,RO,1700947453
55,timimoun,29.2639,0.231,13.21,30,0,1.03,DZ,1700947661
56,wailua homesteads,22.0669,-159.378,26.44,81,0,1.54,US,1700947662
57,whakatane,-37.9585,176.9854,21.05,68,58,2.68,NZ,1700947662
58,praia da vitoria,38.7333,-27.0667,19.86,100,100,6.53,PT,1700947663
59,brisas de zicatela,15.8369,-97.0419,30.29,51,0,3.09,MX,1700947663
60,st. john's,47.5649,-52.7093,-0.57,77,75,5.66,CA,1700947664
61,shar,49.5886,81.0453,-2.04,85,64,2.46,KZ,1700947664
62,luena,-11.7833,19.9167,17.78,96,100,1.31,AO,1700947664
63,hereford,52.0568,-2.7148,3.07,93,100,1.05,GB,1700947381
64,kuanda,56.3161,116.0806,-28.65,96,81,0.42,RU,1700947665
65,nova vicosa,-17.8919,-39.3719,24.65,69,98,7.71,BR,1700947666
66,jiwani,25.05,61.7417,23.69,65,0,3.57,PK,1700947666
67,cidreira,-30.1811,-50.2056,19.5,65,7,5.44,BR,1700947667
68,port mathurin,-19.6833,63.4167,24.48,68,68,7.52,MU,1700947668
69,port saint john's,-31.6229,29.5448,21.77,93,100,3.47,ZA,1700947668
70,tralee,52.2704,-9.7026,9.16,94,100,2.47,IE,1700947669
71,birni n konni,13.7956,5.2553,28.5,45,99,1.18,NE,1700947669
72,mishkino,55.3389,63.9175,1.41,97,100,5.41,RU,1700947670
73,iqaluit,63.7506,-68.5145,-12.39,78,75,12.52,CA,1700947670
74,hojai,26.0,92.8667,16.93,95,0,1.6,IN,1700947671
75,nemuro,43.3236,145.575,-1.16,65,7,8.67,JP,1700947671
76,selfoss,63.9331,-20.9971,5.41,90,100,1.66,IS,1700947672
77,aasiaat,68.7098,-52.8699,-0.23,92,100,4.93,GL,1700947672
78,daday,41.4787,33.4667,7.88,86,98,3.26,TR,1700947638
79,tolanaro,-25.0319,46.9987,24.04,78,20,9.26,MG,1700947673
80,cabo san lucas,22.8909,-109.9124,29.23,65,40,3.6,MX,1700947051
81,papatowai,-46.5619,169.4708,14.97,64,46,3.16,NZ,1700947674
82,khandyga,62.6667,135.6,-38.32,99,100,0.22,RU,1700947675
83,kapuskasing,49.4169,-82.4331,1.05,44,75,6.69,CA,1700947675
84,hithadhoo,-0.6,73.0833,27.21,77,61,1.5,MV,1700947676
85,longyearbyen,78.2186,15.6401,-6.09,79,75,4.12,SJ,1700947676
86,dapa,9.7594,126.0531,26.99,81,70,3.52,PH,1700947397
87,atar,20.5169,-13.0499,21.85,17,0,3.72,MR,1700947677
88,kingston,17.997,-76.7936,29.53,80,40,7.72,JM,1700947474
89,coralville,41.6764,-91.5805,3.38,50,100,2.06,US,1700947678
90,bintulu,3.1667,113.0333,25.23,94,40,1.03,MY,1700947679
91,labrador city,52.9463,-66.9114,-11.05,62,100,7.72,CA,1700947679
92,jamestown,42.097,-79.2353,3.9,49,0,2.06,US,1700947672
93,minas de marcona,-15.2119,-75.1103,19.17,60,48,6.38,PE,1700947680
94,al lagowa,11.4,29.1333,29.74,23,1,3.34,SD,1700947519
95,sinabang,2.4803,96.3801,25.73,82,100,1.34,ID,1700947681
96,shenkursk,62.1091,42.896,-15.61,98,83,0.88,RU,1700947681
97,celestun,20.8667,-90.4,26.78,77,50,3.56,MX,1700947682
98,daru,-9.0763,143.2092,27.14,80,90,4.81,PG,1700947683
99,howrah,22.5892,88.3103,20.0,77,40,2.57,IN,1700947684
100,puerto armuelles,8.2833,-82.8667,27.99,82,98,3.13,PA,1700947684
101,iskateley,67.6803,53.1512,-16.66,96,83,2.68,RU,1700947685
102,amga,60.8953,131.9608,-37.33,100,100,0.81,RU,1700947685
103,ain el bya,35.8039,-0.3018,10.27,62,13,2.48,DZ,1700947686
104,stanley,54.868,-1.6985,0.59,88,20,2.06,GB,1700947686
105,naze,28.3667,129.4833,18.51,72,77,3.49,JP,1700947687
106,mata-utu,-13.2816,-176.1745,28.52,72,100,5.04,WF,1700947687
107,kende,11.5197,4.2603,29.4,53,75,1.58,NG,1700947688
108,queenstown,-31.8976,26.8753,18.08,87,100,2.87,ZA,1700947688
109,tura,25.5198,90.2201,16.73,84,0,1.9,IN,1700947689
110,tazovsky,67.4667,78.7,-21.45,85,15,4.59,RU,1700947689
111,luwuk,-0.9516,122.7875,25.21,86,99,1.02,ID,1700947690
112,pericos,25.05,-107.7,29.95,37,61,2.67,MX,1700947690
113,buckeye,33.3703,-112.5838,21.79,17,0,4.12,US,1700947639
114,sarmiento,-45.5882,-69.07,22.23,32,100,14.94,AR,1700947692
115,yaren,-0.5472,166.916,28.9,70,48,1.82,NR,1700947692
116,kolonia,50.9333,6.95,6.09,88,75,2.06,DE,1700947693
117,arraial do cabo,-22.9661,-42.0278,22.92,53,75,3.6,BR,1700947693
118,arvayheer,46.2639,102.775,-7.32,59,96,3.64,MN,1700947694
119,whitehorse,60.7161,-135.0538,0.05,92,100,1.03,CA,1700947694
120,rongelap,11.1635,166.8941,27.79,79,30,8.35,MH,1700947695
121,san borja,-14.8167,-66.85,28.45,59,97,1.1,BO,1700947695
122,oltinko'l,40.8011,72.1634,11.07,29,96,0.4,UZ,1700947696
123,candolim,15.5181,73.7626,27.01,79,99,2.23,IN,1700947696
124,antonio enes,-16.2325,39.9086,25.91,81,40,4.46,MZ,1700947697
125,vadso,70.0744,29.7487,-0.91,93,100,6.17,NO,1700947697
126,metlili chaamba,32.2667,3.6333,15.52,21,0,2.06,DZ,1700947698
127,belyy yar,53.6039,91.3903,-4.06,63,0,5.0,RU,1700947698
128,karratha,-20.7377,116.8463,27.08,65,8,4.68,AU,1700947699
129,ribeira grande,38.5167,-28.7,20.43,94,75,5.81,PT,1700947699
130,susuman,62.7833,148.1667,-25.75,99,100,2.81,RU,1700947700
131,noosa heads,-26.3833,153.15,24.5,70,82,2.11,AU,1700947606
132,dudinka,69.4058,86.1778,-28.0,100,25,2.02,RU,1700947701
133,mandalgovi,45.7625,106.2708,-8.93,81,100,2.47,MN,1700947701
134,chikwawa,-16.0335,34.8009,27.96,58,96,1.4,MW,1700947702
135,floirac,44.8324,-0.5141,3.9,81,0,3.09,FR,1700947702
136,udachny,66.4167,112.4,-19.2,76,100,4.52,RU,1700947703
137,la ronge,55.1001,-105.2842,-2.86,63,100,8.23,CA,1700947703
138,colonia,50.9333,6.95,6.09,88,75,2.06,DE,1700947693
139,christchurch,-43.5333,172.6333,15.85,70,0,2.57,NZ,1700947673
140,portland,45.5234,-122.6762,11.99,53,0,2.24,US,1700947382
141,byron bay,-28.65,153.6167,23.73,73,62,3.58,AU,1700947706
142,hoemul-li,41.4339,129.67,-2.52,46,55,1.99,KP,1700947706
143,winterset,41.3308,-94.0138,0.3,40,100,2.3,US,1700947707
144,san antonio de pale,-1.4014,5.6325,26.86,83,19,4.49,GQ,1700947708
145,sisimiut,66.9395,-53.6735,-1.87,81,22,4.87,GL,1700947708
146,vanimo,-2.6741,141.3028,25.29,90,90,1.05,PG,1700947709
147,ketchikan,55.3422,-131.6461,7.99,100,100,2.06,US,1700947709
148,punta arenas,-53.15,-70.9167,13.06,44,0,20.06,CL,1700947709
149,new norfolk,-42.7826,147.0587,13.84,98,100,2.0,AU,1700947710
150,vershino-darasunskiy,52.35,115.5167,-23.81,99,98,0.89,RU,1700947710
151,fort st. john,56.2499,-120.8529,2.94,81,40,2.06,CA,1700947534
152,hau-ri,41.2006,129.4703,-4.3,46,72,0.76,KP,1700947711
153,crane,31.3974,-102.3501,15.17,64,85,5.56,US,1700947712
154,tromso,69.6496,18.957,-1.99,93,75,1.03,NO,1700947712
155,miyaly,48.8844,53.7836,4.07,77,99,5.44,KZ,1700947713
156,sos'va,59.1766,61.8558,-16.08,100,90,0.89,RU,1700947713
157,atafu village,-8.5421,-172.5159,29.37,71,97,4.96,TK,1700947714
158,sauri,11.7266,6.7837,28.86,37,92,2.18,NG,1700947714
159,vila franca do campo,37.7167,-25.4333,19.23,99,99,4.93,PT,1700947715
160,alibag,18.6411,72.8792,29.04,77,57,1.28,IN,1700947716
161,kone,-21.0595,164.8658,24.7,65,100,1.6,NC,1700947716
162,kibungo,-2.1597,30.5427,16.51,97,98,1.15,RW,1700947717
163,kuningan,-6.9758,108.4831,21.83,93,100,2.17,ID,1700947717
164,okhotsk,59.3833,143.3,-21.81,83,92,9.76,RU,1700947717
165,keflavik,64.0049,-22.5624,6.95,93,75,4.12,IS,1700947718
166,dawei,14.0833,98.2,23.76,75,86,2.66,MM,1700947718
167,awjilah,29.1081,21.2869,15.86,44,0,5.6,LY,1700947719
168,qina,26.1642,32.7267,23.34,22,36,0.55,EG,1700947719
169,port elizabeth,-33.918,25.5701,19.62,87,98,1.54,ZA,1700947720
170,al bayda',32.7627,21.7551,13.9,77,88,15.35,LY,1700947720
171,esperanza,19.5847,-70.9849,29.32,73,74,1.79,DO,1700947721
172,isafjordur,66.0755,-23.124,4.1,97,100,2.51,IS,1700947722
173,smara,26.7384,-11.6719,16.85,59,0,6.08,EH,1700947722
174,faya-largeau,17.9257,19.1043,27.85,17,77,3.45,TD,1700947722
175,grand falls-windsor,48.9332,-55.6649,-3.05,66,37,0.89,CA,1700947723
176,magadan,59.5667,150.8,-16.93,76,100,3.96,RU,1700947724
177,avarua,-21.2078,-159.775,26.03,73,75,9.26,CK,1700947724
178,kapa'a,22.0752,-159.319,27.18,81,0,1.54,US,1700947724
179,hotan,37.0997,79.9269,3.82,31,5,1.05,CN,1700947725
180,undurkhaan,47.3194,110.6556,-13.86,90,100,1.85,MN,1700947725
181,lautoka,-17.6167,177.4667,28.92,61,20,1.54,FJ,1700947726
182,malvan,16.0667,73.4667,26.15,82,32,2.86,IN,1700947726
183,flying fish cove,-10.4217,105.6791,24.82,88,75,2.06,CX,1700947727
184,mazagao,-0.115,-51.2894,32.03,56,83,3.44,BR,1700947728
185,san fernando de apure,7.8878,-67.4724,30.26,58,100,2.19,VE,1700947728
186,fada,9.5667,8.3,23.32,72,81,0.28,NG,1700947729
187,laojunmiao,39.8333,97.7333,1.47,23,100,3.05,CN,1700947729
188,puerto ayora,-0.7393,-90.3518,29.98,88,59,4.02,EC,1700947730
189,salalah,17.0151,54.0924,25.05,65,40,2.06,OM,1700947730
190,chernyshevsk,52.5243,117.0174,-23.14,99,100,0.61,RU,1700947731
191,tazacorte,28.629,-17.9293,20.54,76,75,3.09,ES,1700947731
192,chonchi,-42.6128,-73.8092,16.56,56,24,0.58,CL,1700947732
193,sheridan,44.8333,-106.9173,1.12,59,0,2.57,US,1700947732
194,puerto aysen,-45.4,-72.7,11.01,96,100,2.28,CL,1700947733
195,paramonga,-10.6667,-77.8333,21.38,76,90,5.02,PE,1700947734
196,mil'kovo,55.6078,37.7956,-4.73,98,66,1.35,RU,1700947735
197,barrouallie,13.2333,-61.2667,26.79,78,75,6.17,VC,1700947735
198,palmer,42.1584,-72.3287,2.86,40,75,3.09,US,1700947736
199,santiago del torno,-17.9833,-63.3833,28.1,49,64,2.14,BO,1700947737
200,celaru,44.05,24.1333,2.09,100,100,4.65,RO,1700947737
201,hadyach,50.3711,33.991,-0.35,88,100,2.88,UA,1700947738
202,yelizovo,53.1873,158.3805,-5.67,61,40,4.02,RU,1700947738
203,qaqortoq,60.7167,-46.0333,0.39,98,100,2.32,GL,1700947739
204,tidjikja,18.5564,-11.4271,22.29,16,0,3.56,MR,1700947739
205,georgetown,5.4112,100.3354,25.96,92,20,1.54,MY,1700947654
206,hawaiian paradise park,19.5933,-154.9731,25.02,90,100,2.57,US,1700947740
207,bjuv,56.0837,12.9191,-1.83,76,0,2.57,SE,1700947741
208,businga,3.3333,20.8833,20.99,99,100,0.95,CD,1700947741
209,college,64.8569,-147.8028,-5.31,89,20,0.0,US,1700947742
210,riosucio,5.4216,-75.7032,20.56,79,97,0.82,CO,1700947742
211,sao tome,0.3365,6.7273,26.95,84,49,3.22,ST,1700947743
212,baki,-7.6128,110.7839,24.68,88,100,4.02,ID,1700947744
213,kavieng,-2.5744,150.7967,27.72,76,24,1.86,PG,1700947744
214,sevastopol,44.6,33.5333,15.56,54,100,3.13,UA,1700947745
215,zlate moravce,48.3855,18.4006,0.08,87,22,1.83,SK,1700947745
216,lompoc,34.6391,-120.4579,20.56,50,0,3.13,US,1700947707
217,banda aceh,5.5577,95.3222,25.81,82,100,1.19,ID,1700947746
218,vilyuysk,63.7553,121.6247,-32.95,99,13,2.35,RU,1700947747
219,enewetak,11.3474,162.3373,27.91,75,28,9.95,MH,1700947747
220,motygino,58.1831,94.7592,-20.46,94,6,2.38,RU,1700947748
221,chos malal,-37.3781,-70.2709,29.64,12,0,5.16,AR,1700947748
222,port moresby,-9.4431,147.1797,26.68,83,75,1.54,PG,1700947749
223,broken hill,-31.95,141.4333,17.15,66,0,5.98,AU,1700947749
224,khash,28.2211,61.2158,10.55,81,2,2.81,IR,1700947750
225,chania,35.5122,24.0156,17.78,82,75,9.26,GR,1700947751
226,ixtapa,20.7,-105.2,27.9,54,0,4.63,MX,1700947751
227,puerto baquerizo moreno,-0.9,-89.6,28.55,84,40,7.2,EC,1700947752
228,popilnia,49.9665,29.4435,-0.24,83,100,2.06,UA,1700947752
229,midvagur,62.0511,-7.1939,4.46,93,100,0.0,FO,1700947753
230,ugoofaaru,5.6667,73.0,28.03,74,44,2.76,MV,1700947753
231,ewo,-0.8725,14.8206,22.31,94,95,1.48,CG,1700947754
232,waynesville,35.4887,-82.9887,10.2,68,100,1.34,US,1700947754
233,tiksi,71.6872,128.8694,-24.17,95,91,1.57,RU,1700947754
234,howard springs,-12.497,131.047,26.04,97,84,0.5,AU,1700947755
235,pitimbu,-7.4706,-34.8086,27.33,66,18,5.94,BR,1700947756
236,holualoa,19.6228,-155.9522,26.97,73,20,3.09,US,1700947756
237,urangan,-25.3,152.9,22.58,70,71,1.67,AU,1700947757
238,kaiapoi,-43.3783,172.6401,15.94,62,0,2.57,NZ,1700947757
239,morehead,37.2711,-87.1764,10.55,56,0,0.0,US,1700947527
240,alofi,-19.0595,-169.9187,28.94,79,100,4.63,NU,1700947758
241,geraldton,-28.7667,114.6,21.23,83,100,2.06,AU,1700947584
242,tokar,18.4254,37.729,28.09,74,91,4.64,SD,1700947759
243,sechura,-5.5569,-80.8222,26.6,54,82,8.19,PE,1700947760
244,saint-pierre,-21.3393,55.4781,22.82,68,0,1.54,RE,1700947760
245,vorkuta,67.5,64.0,-10.41,90,100,2.32,RU,1700947761
246,al muwayh,22.4333,41.7583,24.65,47,17,1.48,SA,1700947762
247,port alfred,-33.5906,26.891,17.88,99,100,0.45,ZA,1700947763
248,sitka,57.0531,-135.33,8.94,93,75,2.57,US,1700947763
249,oriximina,-1.7656,-55.8661,32.11,47,92,1.59,BR,1700947764
250,fort bragg,35.139,-79.006,11.57,51,0,3.6,US,1700947764
251,zhangye,38.9342,100.4517,1.13,32,9,2.14,CN,1700947765
252,guichen,47.9676,-1.7953,1.73,87,0,1.54,FR,1700947765
253,hafar al-batin,28.4328,45.9708,15.32,72,0,4.12,SA,1700947766
254,bikenibeu village,1.3673,173.1241,29.98,79,75,1.54,KI,1700947766
255,menongue,-14.6585,17.691,17.78,93,65,2.19,AO,1700947766
256,polyarnyy,69.1989,33.4478,-6.43,86,99,3.11,RU,1700947767
257,chervyen',53.7059,28.4313,-0.83,96,87,2.74,BY,1700947767
258,petropavlovsk-kamchatsky,53.0452,158.6483,-6.42,69,40,11.62,RU,1700947768
259,serdar,38.9764,56.2757,13.42,30,4,2.49,TM,1700947768
260,mount isa,-20.7333,139.5,24.87,65,92,2.06,AU,1700947769
261,miri,4.4148,114.0089,25.08,100,40,1.54,MY,1700947769
262,alakurtti,66.9672,30.3491,-11.62,98,100,0.5,RU,1700947770
263,pacocha,-17.5833,-71.3333,22.08,64,40,3.6,PE,1700947771
264,port augusta,-32.5,137.7667,17.14,72,5,5.67,AU,1700947771
265,aginskoye,51.1,114.53,-20.51,96,100,1.16,RU,1700947772
266,pyay,18.8167,95.2167,19.81,90,65,2.89,MM,1700947772
267,broome,42.2506,-75.833,3.64,66,0,2.06,US,1700947773
268,binzhou,37.3667,118.0167,3.35,87,100,0.75,CN,1700947774
269,isangel,-19.55,169.2667,27.06,61,75,3.09,VU,1700947775
270,iskitim,54.6366,83.3045,-4.05,84,89,4.12,RU,1700947775
271,yuzhno-kurilsk,44.0306,145.8556,-0.35,78,97,7.72,RU,1700947776
272,el calafate,-50.3408,-72.2768,11.57,49,1,12.02,AR,1700947776
273,al ghayzah,16.2079,52.176,25.95,65,99,1.91,YE,1700947777
274,uturoa,-16.7333,-151.4333,26.61,77,65,10.37,PF,1700947777
275,glace bay,46.1969,-59.957,-2.14,71,40,4.92,CA,1700947778
276,guingamp,48.4167,-3.3333,2.96,77,98,1.53,FR,1700947779
277,guerrero negro,27.9769,-114.0611,20.54,54,18,4.6,MX,1700947779
278,kavaratti,10.5669,72.642,28.45,73,58,3.24,IN,1700947779
279,calchaqui,-29.8877,-60.287,24.84,54,97,2.93,AR,1700947780
280,carnarvon,-24.8667,113.6333,20.63,78,26,3.48,AU,1700947780
281,likisa,-8.6695,125.6875,18.64,83,47,1.02,TL,1700947781
282,omdurman,15.6445,32.4777,31.57,20,8,4.32,SD,1700947781
283,laichingen,48.4894,9.6861,1.61,97,100,7.86,DE,1700947782
284,kinablangan,7.6947,126.5503,25.23,86,77,2.08,PH,1700947782
285,roma,43.2128,-75.4557,2.75,73,100,0.0,US,1700947783
286,lagos,6.5833,3.75,26.39,87,60,2.09,NG,1700947732
287,perevolotskiy,51.8763,54.1938,1.58,100,100,1.48,RU,1700947784
288,ust'-ilimsk,58.0006,102.6619,-22.44,100,79,1.13,RU,1700947785
289,bansang,13.4333,-14.65,26.34,18,0,2.0,GM,1700947785
